oem,model,launch_announced,launch_status,body_dimensions,body_weight,body_sim,display_type,display_size,display_resolution,features_sensors,platform_os
Honor,Play 3,2019,2019,null,176,Hybrid Dual SIM (Nano-SIM  dual stand-by),IPS LCD capacitive touchscreen  16M colors,6.39 inches  100.2 cm (~82.4% screen-to-body ratio),720 x 1560 pixels  19.5:9 ratio (~269 ppi density),Accelerometer  proximity  compass,Android 9.0 (Pie)  EMUI 9.1
Honor,20S,2019,2019,null,172,Dual SIM (Nano-SIM  dual stand-by),IPS LCD capacitive touchscreen  16M colors,6.26 inches  96.2 cm (~84.2% screen-to-body ratio),1080 x 2340 pixels  19.5:9 ratio (~412 ppi density),Fingerprint (side-mounted)  accelerometer  gyro  proximity  compass,Android 9.0 (Pie)  Magic 2.1
Honor,9X Pro,2019,2019,null,202,Hybrid Dual SIM (Nano-SIM  dual stand-by),LTPS IPS LCD capacitive touchscreen  16M colors,6.59 inches  106.6 cm (~84.3% screen-to-body ratio),1080 x 2340 pixels  19.5:9 ratio (~391 ppi density),Fingerprint (side-mounted)  accelerometer  gyro  proximity  compass,Android 9.0 (Pie)  upgradable to Android 10  EMUI 9.1  no Google Play Services
Honor,9X (China),2019,2019,null,206,Single SIM (Nano-SIM) or Hybrid Dual SIM (Nano-SIM  dual stand-by),LTPS IPS LCD capacitive touchscreen  16M colors,6.59 inches  106.6 cm (~84.7% screen-to-body ratio),1080 x 2340 pixels  19.5:9 ratio (~391 ppi density),Fingerprint (side-mounted)  accelerometer  gyro  proximity  compass,Android 9.0 (Pie)  EMUI 9.1
Honor,8S,2019,2019,null,146,Single SIM (Nano-SIM) or Dual SIM (Nano-SIM  dual stand-by),IPS LCD capacitive touchscreen  16M colors,5.71 inches  81.4 cm (~78.1% screen-to-body ratio),720 x 1520 pixels  19:9 ratio (~295 ppi density),Accelerometer  proximity,Android 9.0 (Pie)  EMUI 9
Honor,Pad 5 10.1,2019,2019,null,null,Nano-SIM,IPS LCD capacitive touchscreen  16M colors,10.1 inches  295.8 cm (~74.2% screen-to-body ratio),1920 x 1200 pixels  16:10 ratio (~224 ppi density),Accelerometer,Android 8.0 (Oreo)  EMUI 8
Honor,Pad 5 8,2019,2019,null,null,Nano-SIM,IPS LCD capacitive touchscreen  16M colors,8.0 inches  185.6 cm (~74.4% screen-to-body ratio),1920 x 1200 pixels  16:10 ratio (~283 ppi density),Accelerometer  proximity,Android 9.0 (Pie)  Magic 2.0
Honor,20 Pro,2019,2019,null,182,Dual SIM (Nano-SIM  dual stand-by),IPS LCD capacitive touchscreen  16M colors,6.26 inches  96.2 cm (~84.1% screen-to-body ratio),1080 x 2340 pixels  19.5:9 ratio (~412 ppi density),Fingerprint (side-mounted)  accelerometer  gyro  proximity  compass,Android 9.0 (Pie)  Magic 2.1
Honor,20,2019,2019,null,174,Dual SIM (Nano-SIM  dual stand-by),IPS LCD capacitive touchscreen  16M colors,6.26 inches  96.2 cm (~84.2% screen-to-body ratio),1080 x 2340 pixels  19.5:9 ratio (~412 ppi density),Fingerprint (side-mounted)  accelerometer  gyro  proximity  compass,Android 9.0 (Pie)  Magic 2.1
Honor,20 lite,2019,2019,null,164,Single SIM (Nano-SIM) or Hybrid Dual SIM (Nano-SIM  dual stand-by),LTPS IPS LCD capacitive touchscreen  16M colors,6.21 inches  94.7 cm (~83.1% screen-to-body ratio),1080 x 2340 pixels  19.5:9 ratio (~415 ppi density),Fingerprint (rear-mounted)  accelerometer  proximity  compass,Android 9.0 (Pie)  EMUI 9
HP,Slate8 Pro,2013,Discontinued,null,6,null,Capacitive touchscreen  16M colors,8.0 inches  198.2 cm (~63.7% screen-to-body ratio),1200 x 1600 pixels  4:3 ratio (~250 ppi density),Accelerometer  gyro  compass,Android 4.2.2 (Jelly Bean)
HTC,U20 5G,2020,2020,null,5,Dual SIM (Nano-SIM  dual stand-by),Capacitive touchscreen  16M colors,6.8 inches  111.6 cm (~83.5% screen-to-body ratio),1080 x 2400 pixels  20:9 ratio (~387 ppi density),Fingerprint (rear-mounted)  accelerometer  gyro  proximity  compass  SAR,Android 10
